,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,baseline_amplitude,peak_trough_amplitude,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band,delta_band_freq,theta_band_freq,delta_band_magnitude,theta_band_magnitude
233,neuron_276.smr,112.9876556,112.1243523,0.931857633,2.191192675,20.26936301,0.822191089,1.137843549,0.00882593,4.605075529,41.37431263,1.116624163,141,43.68897359,0.389144434,0.007147943,1.01E-06,0.0607205,0.011149194,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.131557921,0.046466624
234,neuron_060.smr,22.20782826,22.19653179,-0.227860178,-0.736814804,9.261801541,1.280191464,2.386563619,0.04476327,8.173344002,82.33473284,1.726533517,25,6.383370248,0.130208333,0.0347424,2.76E-05,0.977876667,1.216177198,2.96969697,1,0,0,0,0,2.96969697,0,0.093012664,0
235,neuron_074.smr,84.45086117,84.16184971,-0.104926831,-0.306019135,5.06891952,0.129499616,0.199292954,0.01184,2.202246441,8.109191353,0.461361839,1,31.674882,0.004109589,0.00752,0,,,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.091032072,0.028351771
236,neuron_048.smr,22.69416566,22.65886288,0.53990686,0.019453891,8.949993212,0.230167931,0.307836842,0.043920118,3.957709161,22.07713345,0.89446907,48,6.566359505,0.212389381,0.033686667,1.61E-05,0.426837447,1.119446701,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.063407442,0.027155483
237,neuron_049.smr,39.58486917,39.43069307,1.15981797,2.066607349,16.3320188,0.354097101,0.44561928,0.025269674,5.647764837,46.68575756,1.071160796,71,13.17705385,0.266583229,0.016291831,2.37E-05,0.244067429,0.215386986,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.071136492,0.034380654
238,neuron_075.smr,53,52.9,-0.10460741,-0.44425518,6.438374291,1.828111365,3.314093824,0.018854545,1.861566144,5.143135492,0.776295852,14,18.62293118,0.158490566,0.012388571,7.21E-06,0.284147692,0.072690658,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.081002147,0.031261112
239,neuron_061.smr,5.019567186,5.011389522,1.821126877,2.743347184,15.62497411,1.021865234,1.947065874,0.181953028,3.327265425,10.68155944,2.05643517,1,5.952405793,0.172727273,1.01736,0,,,,0,0,0,0,0,0,0,0,0
240,neuron_277.smr,27.5131414,27.29468599,1.265019623,1.670759623,19.09469454,0.945138679,1.192171339,0.036007456,1.978807865,3.813189243,1.236417367,55,8.4083362,0.580985915,0.015276545,2.43E-05,0.170459074,0.11573585,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.113188499,0.049659996
241,neuron_263.smr,77.37494162,77.17884131,0.083303319,-0.367275591,10.64100203,1.113595163,1.759087315,0.012921735,3.638212514,24.0815128,0.833230776,87,28.71586043,0.170143416,0.010302874,1.72E-06,0.213910233,0.079361687,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.150288583,0.045408539
242,neuron_288.smr,111.5842822,110.4854369,-0.423176574,-0.323898148,6.544440084,1.530332372,2.06521201,0.008956077,1.922746181,6.472493592,0.514691266,4,43.09578021,0.020979021,0.0075775,6.01E-07,0.811393333,0.273606822,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.087976687,0.031997844
243,neuron_303.smr,94.59283209,93.97260274,-0.374731728,0.310698976,6.085706298,0.713424441,0.885550135,0.010549041,2.459526627,9.275079051,0.542677373,4,35.93172157,0.017416546,0.0095375,3.86E-07,1.35548,1.682522705,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.109641716,0.031880801
244,neuron_317.smr,19.95084836,19.92443325,0.830350174,2.47885415,2.313240581,1.331470466,1.597826409,0.049968835,-0.66133663,1.204782541,0.318279927,6,5.542810501,0.045454545,0.01631,1.68E-05,1.77303,2.837483864,2.96969697,1,1,0,0,0,2.96969697,4.909090909,0.097777627,0.028809457
