,Filename,firing rate,ifr_mean,ifr_skew,ifr_kurtosis,ifr_fano_factor,ISI_mean,ISI_skew,ISI_kurtosis,ISI_cv,num_bursts,mean_surprise,burst_index,mean_burst_duration,var_burst_duration,mean_interburst_duration,var_interburst_duration,max_peak_freq,delta_band,theta_band,alpha_band,beta_band,gamma_band
134,neuron_068.smr,65.00000000000001,64.83333333333333,0.41202261420833663,-0.4454434933262075,11.901885175664095,0.015365758354755782,2.4275522179008315,8.258395223160063,0.685567313852846,19,23.56855250416645,1.2472206456782406,0.012214736842105264,2.4967091412741987e-06,0.28891555555555554,0.21125919162469128,2.9696969696969697,1,1,0,0,0
135,neuron_054.smr,14.377444165508138,14.25,1.172849077735491,1.2752738192550694,16.80263157894737,0.06580561403508772,3.690010976228169,17.437457240005454,1.5311042602098908,0,,2.5270973131754326,,,,,2.484848484848485,1,1,0,0,0
136,neuron_040.smr,11.906090338830396,11.865671641791044,1.056944482266422,1.4197412589509781,12.222378672674363,0.08374420168067226,4.594524037477476,24.329359340193175,1.6212288522042164,0,,1.7817915251206975,,,,,2.484848484848485,1,1,0,0,1
137,neuron_097.smr,53.35269010498775,53.10850439882698,-0.5285836839968907,1.1518624570092628,3.0317496044861074,0.018726092715231787,1.9563076753052082,7.194939511880573,0.42473595307676343,2,18.767461191830375,1.1015348656018473,0.018200000000000216,7.840000000003247e-08,0.69808,0.0,2.9696969696969697,1,1,0,0,0
138,neuron_083.smr,102.37500000000001,102.125,-0.31257123358014305,0.27262997643590525,4.655905752753978,0.00973369193154034,1.6872029899167393,5.4976684598029895,0.4196716549247484,2,39.208467090923634,1.0767358331350274,0.008680000000000021,1.4399999999975512e-08,0.9815999999999994,0.0,2.9696969696969697,1,1,0,0,0
139,neuron_256.smr,75.741693773627,75.14423076923077,-0.09568490715210858,-0.6659243312034384,14.088014912151188,0.01320604086845466,4.470112578888176,28.631372024603216,1.028388151891066,45,28.034345867864477,1.4184791480617271,0.00956822222222219,1.9209790617284006e-06,0.21846363636363642,0.07224998122768592,2.9696969696969697,1,1,0,0,0
140,neuron_242.smr,111.44263919786603,111.0,0.6225114771542725,1.230604993618699,8.653864390706495,0.008967329545454544,1.8471269564894095,5.002457665864377,0.4920756962251572,18,43.03592033709774,1.1645882526564617,0.0076555555555556315,3.858024691359534e-07,0.4719647058823528,0.6861286564013839,2.9696969696969697,1,1,0,0,0
141,neuron_295.smr,86.72435150046773,86.28787878787878,0.0685047057182962,-0.2838363206499914,5.52072525075159,0.011508196147110333,2.7557520963959683,13.745777597188301,0.5335178451325725,1,32.62763537068036,1.1338124282867952,0.010709999999999997,0.0,,,2.9696969696969697,1,1,0,0,0
142,neuron_281.smr,56.764739273376044,56.705882352941174,-0.24780521187514437,0.5670918274618013,1.1675616304613134,0.01759454356846473,0.5978196102437351,0.5238021617688662,0.2508286410897142,0,,1.0238314558314967,,,,,2.9696969696969697,1,1,0,0,0
143,neuron_322.smr,89.87624732099647,89.42583732057416,-0.46124122558567343,0.07748270614527497,7.818678463267463,0.011123486631016042,4.933211051072591,47.91282835147299,0.6887696072099916,18,33.94997472408232,1.194789111816956,0.009337222222222235,6.46331172839907e-07,0.5267047058823529,0.30027835670726616,2.9696969696969697,1,1,0,0,0
144,neuron_336.smr,41.473549310281115,41.27450980392157,-0.06093867380780828,-0.26972622491090137,3.7848726188812813,0.024097767220902615,1.3693282475546205,3.1997277604889733,0.3738759265133369,0,,1.0796490690368499,,,,,2.9696969696969697,1,1,0,0,0
145,neuron_108.smr,50.03502925416092,49.9290780141844,0.2692257707395806,-0.08124014392697188,11.974331076724694,0.019993787878787875,1.9893406252634107,3.7946193224252855,1.4144853245963966,269,17.41026588320923,3.730184305743521,0.008363420074349405,8.958876035433452e-06,0.07007970149253734,0.006937202841701938,2.9696969696969697,1,0,1,0,0
146,neuron_120.smr,33.240792008172754,32.9126213592233,0.7264844596902045,1.3401254055162246,10.568204599478765,0.02982470588235294,2.7715751439312646,10.427271980445001,0.9255719643103268,24,10.649429704907774,1.3631035595225356,0.018863333333333367,3.406985555555569e-05,0.3478260869565217,0.33389889427599234,2.9696969696969697,1,1,0,0,0
147,neuron_134.smr,98.4,97.8,-0.47472298013603514,0.30980175177673663,3.9177914110429435,0.01015295315682281,4.732143045982289,39.188351251850726,0.4962145713679339,0,,1.1035818648720594,,,,,2.9696969696969697,1,1,0,0,0
148,neuron_118.smr,82.88687362992206,82.55681818181819,0.23608100469263785,-0.3263043100165035,15.481722767940937,0.012054725274725273,4.106398104179542,27.201714565177703,0.920444507433698,41,31.02000581306903,1.2990005683971262,0.008427317073170749,2.019780606781825e-06,0.20902399999999996,0.10581226438399996,2.9696969696969697,1,1,0,0,0
149,neuron_130.smr,112.51996011821004,111.59235668789809,0.470619848803106,-0.3446360549288041,15.43960678242155,0.0088806157354618,1.518736784303717,3.833158101873866,0.46945902826494795,11,43.491260325013165,1.1385404789054197,0.008007272727272823,2.4831074380166314e-07,0.14170199999999986,0.067699992996,2.9696969696969697,1,1,0,0,0
150,neuron_124.smr,19.708385656481095,19.652173913043477,0.06894844294461697,-0.6547264124750392,6.011542901115816,0.05024142857142856,3.1181344411726752,14.174273721794094,0.7493409419962326,5,5.453441232148773,1.2745161991737328,0.03915599999999998,1.8905184000000176e-05,0.8940449999999999,0.2059719216749999,2.484848484848485,1,0,0,0,1
151,neuron_332.smr,132.66666666666666,132.27777777777777,-0.20534274486387816,-0.0395027581619285,11.346749731672034,0.007528415758591784,6.5254564754744475,75.41139315676256,0.8504855981114284,30,52.026267064152975,1.3207746944897907,0.0066433333333332355,2.7912222222212045e-07,0.27909655172413805,0.08503184447086802,2.9696969696969697,1,1,0,0,0
152,neuron_326.smr,30.681998655128254,30.574324324324323,1.0520647346954193,0.8996671823286841,24.442250261311035,0.032414944812362026,4.860934594739558,33.36628259523179,1.6733176297580836,94,9.642523020383235,2.5443441767944908,0.01594734042553195,2.1962108884110418e-05,0.13691322580645157,0.08530743717023934,2.484848484848485,1,1,0,0,0
153,neuron_285.smr,97.79630972524374,97.38693467336684,-0.11807282157227642,-0.3653224857631936,7.226068422608398,0.010217835051546388,2.41867904055833,10.754441368905518,0.49366106300792634,7,37.27958151265566,1.1315431950771078,0.00889999999999994,6.166000000001868e-07,0.6363933333333333,0.7311846993888894,2.9696969696969697,1,1,0,0,0
154,neuron_291.smr,20.097182812730075,19.95049504950495,0.7786913741203397,0.8396217573319755,7.667370955457828,0.04913303482587065,1.5661782840544765,3.484563882289036,0.7758378286191475,13,5.596841298571581,1.1757127261514937,0.021759230769230663,0.00010349542248520685,0.5466650000000001,0.5615138090916668,2.484848484848485,1,1,0,1,0
155,neuron_246.smr,86.92109463225158,86.4039408866995,0.7041298274411366,0.3345909101862965,17.43870449528453,0.01149004555808656,2.56880831012797,9.549010505608003,0.8613415755572943,81,32.71012744937763,1.4461983081291514,0.008652345679012328,1.366032769394908e-06,0.10944237500000001,0.05301902335810935,2.9696969696969697,1,1,0,0,0
156,neuron_252.smr,85.51055936170285,84.80225988700565,1.940311083304231,5.988111266944804,6.876620859163571,0.01169158244680851,1.1249456455945483,5.238728003758853,0.44142827147918956,37,32.118856083574734,1.009200038567851,0.0073499999999999555,3.630767567567346e-06,0.18640805555555556,0.17294346254899695,2.9696969696969697,1,1,0,0,0
157,neuron_087.smr,104.87788710120364,104.61538461538461,-0.11392477097362617,0.06386071711961927,6.425339366515837,0.009519909604519775,2.0525405796823533,6.636592228488546,0.5440045434323421,9,40.26398710404684,1.1442199043893815,0.007848888888888773,7.956543209875415e-07,0.71662,0.6553431580000001,2.9696969696969697,1,1,0,0,0
